COM,NCOM,NREG,NDEP,F65-79,F80+,H65-79,H80+,latitude,longitude
1110,Colomieu,Auvergne-Rhône-Alpes,Ain,13,3,15.0,2.0,45.7361469025,5.62670101041
1111,Conand,Auvergne-Rhône-Alpes,Ain,12,3,7.0,6.0,45.8834810846,5.47541328981
1112,Condamine,Auvergne-Rhône-Alpes,Ain,13,9,23.0,2.0,46.105831161,5.55568206762
1113,Condeissiat,Auvergne-Rhône-Alpes,Ain,42,34,43.0,14.0,46.1538469834,5.08437171701
1114,Confort,Auvergne-Rhône-Alpes,Ain,47,43,46.0,25.0,46.1543700156,5.83319395258
1115,Confrançon,Auvergne-Rhône-Alpes,Ain,66,28,69.0,13.0,46.270304175,5.05775217893
1116,Contrevoz,Auvergne-Rhône-Alpes,Ain,44,20,44.0,15.0,45.8009403071,5.62087768159
1117,Conzieu,Auvergne-Rhône-Alpes,Ain,8,8,9.0,0.0,45.7253102173,5.60442351043
1118,Corbonod,Auvergne-Rhône-Alpes,Ain,89,58,84.0,28.0,45.9659473187,5.78961970355
1121,Corlier,Auvergne-Rhône-Alpes,Ain,5,0,7.0,4.0,46.0336885573,5.49635755029
1123,Cormoranche-sur-Saône,Auvergne-Rhône-Alpes,Ain,77,34,81.0,31.0,46.2403530179,4.8276569593
1124,Cormoz,Auvergne-Rhône-Alpes,Ain,51,22,52.0,17.0,46.4336632942,5.22181275755
1125,Corveissiat,Auvergne-Rhône-Alpes,Ain,38,9,44.0,15.0,46.2505107235,5.47152467919
1127,Courmangoux,Auvergne-Rhône-Alpes,Ain,49,19,47.0,12.0,46.3267864521,5.35558241812
1128,Courtes,Auvergne-Rhône-Alpes,Ain,25,10,23.0,5.0,46.4570082032,5.11128546723
1129,Crans,Auvergne-Rhône-Alpes,Ain,24,15,19.0,7.0,45.9663793103,5.19490390871
1130,Bresse Vallons,Auvergne-Rhône-Alpes,Ain,126,39,111.0,29.0,46.3130831891,5.17796707174
1133,Cressin-Rochefort,Auvergne-Rhône-Alpes,Ain,33,12,33.0,7.0,45.7826434885,5.76546256637
1134,Crottet,Auvergne-Rhône-Alpes,Ain,133,35,132.0,32.0,46.283072336,4.87747971182
1134,Crottet,Auvergne-Rhône-Alpes,Ain,133,35,132.0,32.0,46.283072336,4.87747971182
1135,Crozet,Auvergne-Rhône-Alpes,Ain,106,24,100.0,13.0,46.2915659686,5.99510417092
1136,Cruzilles-lès-Mépillat,Auvergne-Rhône-Alpes,Ain,42,22,61.0,17.0,46.2220588715,4.8752193513
1138,Culoz,Auvergne-Rhône-Alpes,Ain,245,110,213.0,77.0,45.8559966843,5.78398308932
1139,Curciat-Dongalon,Auvergne-Rhône-Alpes,Ain,43,21,34.0,20.0,46.4885456881,5.16344336837
1140,Curtafond,Auvergne-Rhône-Alpes,Ain,54,42,57.0,21.0,46.273150382,5.1020896267
